contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,qvalue,is_significant_fdr_10,is_significant_fdr_05
b1_small_model_family:v3_b1_gpt_5_2_chat_abstain_false__vs__v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_5_2_chat_abstain_false,v3_b1_gpt_5_2_chat_abstain_true,mid_scale_mass,30,0.26672486690869046,0.24999999999999994,0.14610786432300543,1.8255339515403024,1.0,0.21720713858581508,0.31902496033378375,0.0001999600079984003,0.0005998800239952009,True,True
b1_small_model_family:v3_b1_gpt_5_2_chat_abstain_false__vs__v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_5_2_chat_abstain_false,v3_b1_gpt_5_2_chat_abstain_true,singleton_rate,30,-0.12835753298988595,-0.11730769230769228,0.23407673363800882,-0.5483566478178314,0.4,-0.2098681083350201,-0.0510527600123189,0.005398920215956809,0.01295740851829634,True,True
b1_small_model_family:v3_b1_gpt_5_2_chat_abstain_false__vs__v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,abstain_toggle,v3_b1_gpt_5_2_chat_abstain_false,v3_b1_gpt_5_2_chat_abstain_true,stage_entropy,30,-0.10164341872241564,-0.09634741666258101,0.19527587953306427,-0.5205118981692016,0.3333333333333333,-0.16832765981986159,-0.030895977717388716,0.007798440311937612,0.01336875482046448,True,True
c1_bundle_5_random_l2:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,model_comparison,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c1_gpt_5_2_bundle_5_random_l2,abstain_rate,30,-0.05,0.0,0.1902810987768468,-0.2627691364061219,0.0,-0.1252083333333333,0.0,0.23475304939012198,0.23475304939012198,False,False
c1_bundle_5_random_l2:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,model_comparison,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c1_gpt_5_2_bundle_5_random_l2,mean_expected_stage,29,-0.34913793103448276,-0.5,0.43578373583986657,-0.8011724677186605,0.20689655172413793,-0.5028735632183908,-0.1810344827586207,0.0005998800239952009,0.0007198560287942411,True,True
c1_bundle_5_random_l2:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,model_comparison,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c1_gpt_5_2_bundle_5_random_l2,mean_subset_size,29,-0.46264367816091956,-0.5,0.4973073363165296,-0.9302973118949786,0.1724137931034483,-0.6408045977011495,-0.2816091954022989,0.0001999600079984003,0.0003999200159968006,True,True
c1_bundle_5_random_l2:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,model_comparison,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c1_gpt_5_2_bundle_5_random_l2,mid_scale_mass,30,0.18333333333333332,0.14583333333333337,0.23458204456476184,0.7815318247118436,0.7666666666666667,0.10833333333333335,0.26392361111111096,0.0001999600079984003,0.0003999200159968006,True,True
c1_bundle_5_random_l2:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,model_comparison,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c1_gpt_5_2_bundle_5_random_l2,singleton_rate,29,0.3419540229885058,0.5,0.37753431173971097,0.9057561454818555,0.7931034482758621,0.20107758620689659,0.47413793103448276,0.0005998800239952009,0.0007198560287942411,True,True
c1_bundle_5_random_l2:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,model_comparison,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c1_gpt_5_2_bundle_5_random_l2,stage_entropy,30,-0.3269488070579595,-0.41441015402625125,0.30647082865618347,-1.0668186870886474,0.13333333333333333,-0.43241549214157704,-0.2185150494568047,0.0001999600079984003,0.0003999200159968006,True,True
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,abstain_rate,30,0.025,0.0,0.28879953672710956,0.08656523581484421,0.16666666666666666,-0.075,0.125,0.7946410717856429,0.8668811692207015,False,False
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mean_expected_stage,29,0.0675287356321839,0.0,0.5788961548268777,0.11665086228181763,0.41379310344827586,-0.14231321839080463,0.2729885057471264,0.5572885422915417,0.8359328134373125,False,False
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mean_subset_size,29,-0.1810344827586207,0.0,0.5656630492408087,-0.32003943514003935,0.27586206896551724,-0.38505747126436785,0.011566091954022594,0.10477904419116177,0.419116176764647,False,False
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mid_scale_mass,30,0.06203703703703705,0.10416666666666674,0.3254318391546461,0.19062989410681752,0.6333333333333333,-0.05324074074074074,0.17223379629629626,0.30813837232553487,0.6162767446510697,False,False
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,singleton_rate,29,0.15804597701149425,0.16666666666666669,0.39924583392423346,0.39586130544692744,0.5517241379310345,0.014367816091954018,0.3045977011494253,0.041991601679664065,0.2519496100779844,False,False
