contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,policy_family
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,tbm_conflict,30,-0.0355523700391175,-7.250387679125225e-08,0.18227482655256147,-0.19504816277449855,0.13333333333333333,-0.10305117927908715,-0.0007755301571234313,0.004199160167966407,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,abstain_rate,30,-0.195,-0.225,0.19491377403956045,-1.0004423800260624,0.1,-0.26166666666666666,-0.12333333333333334,0.0001999600079984003,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,closed_world_conflict,30,0.046283475893894685,0.013931846861210295,0.2099277259088441,0.22047338289174884,0.9333333333333333,-0.021080023346941396,0.12619341578912113,0.3077384523095381,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,mean_expected_stage,30,-0.0664575755771576,-0.1428571428571428,0.49304284351419264,-0.13479067073254167,0.4666666666666667,-0.24120231390950236,0.10839068957286827,0.4491101779644071,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,mean_score_expert_agreement_prob,30,-0.025366666666666652,-0.048750000000000016,0.10039430308515535,-0.2526703795647689,0.3333333333333333,-0.06135166666666668,0.009987916666666664,0.16516696660667868,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,mean_subset_size,30,-0.079027700742097,-0.03436797121007651,0.29160504479872024,-0.27100937432905425,0.4,-0.18298116353747157,0.02094787084618739,0.15276944611077783,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,mid_scale_mass,30,-0.15187120277097058,-0.13940467427309539,0.20284806345643175,-0.7486943685000468,0.3,-0.22761270468294462,-0.08154515619685912,0.0003999200159968006,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,singleton_rate,30,0.08418292950026697,0.04007936507936505,0.2813381114204296,0.29922334046831156,0.6333333333333333,-0.014417934769908446,0.1891504922844897,0.11597680463907219,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,stage_entropy,30,0.0752365329322811,0.043754032207298454,0.17000500776334607,0.4425548042503161,0.6333333333333333,0.017441721959057396,0.13301743744242833,0.01899620075984803,c4_small_model_scale
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,c4_small_model_scale,scale_size,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,tbm_conflict,30,-0.0031930623838570854,-2.203963694769051e-06,0.006955539611570374,-0.45906752921735966,0.2,-0.005943884588314707,-0.001022729145750905,0.003999200159968006,c4_small_model_scale
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,c6_scale_probe,scale_probe,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,abstain_rate,30,-0.06666666666666667,0.0,0.20692049669866683,-0.3221849344569846,0.03333333333333333,-0.15,0.0,0.15676864627074585,c6_scale_probe
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,c6_scale_probe,scale_probe,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,closed_world_conflict,30,-0.33182541666666665,-0.04999999999999999,0.62108721670915,-0.5342654102991428,0.1,-0.5374210520833332,-0.10866250000000002,0.007398520295940812,c6_scale_probe
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,c6_scale_probe,scale_probe,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,mean_expected_stage,30,1.326388888888889,1.375,0.5300007379690759,2.502617060443188,0.9666666666666667,1.1429861111111113,1.5014930555555552,0.0001999600079984003,c6_scale_probe
